time,close,VWAP,Volume,Volume MA,K,D,RSI
2022-11-07T01:00:00+01:00,1.1381,1.1354,2418568,NaN,NaN,NaN,NaN
2022-11-07T01:05:00+01:00,1.1517,1.140259903,1693637,NaN,NaN,NaN,NaN
2022-11-07T01:10:00+01:00,1.1573,1.143936072,1649638,NaN,NaN,NaN,NaN
2022-11-07T01:15:00+01:00,1.1698,1.151717079,2972431,NaN,NaN,NaN,NaN
2022-11-07T01:20:00+01:00,1.1739,1.154610304,1453172,NaN,NaN,NaN,NaN
2022-11-07T01:25:00+01:00,1.173,1.156080561,997252,NaN,NaN,NaN,NaN
2022-11-07T01:30:00+01:00,1.1634,1.157206744,1268916,NaN,NaN,NaN,NaN
2022-11-07T01:35:00+01:00,1.1591,1.157479215,972990,NaN,NaN,NaN,NaN
2022-11-07T01:40:00+01:00,1.157,1.157513882,678389,NaN,NaN,NaN,NaN
2022-11-07T01:45:00+01:00,1.1551,1.157473509,651922,NaN,NaN,NaN,NaN
2022-11-07T01:50:00+01:00,1.1548,1.157390682,465802,NaN,NaN,NaN,NaN
2022-11-07T01:55:00+01:00,1.1542,1.157498716,1408089,NaN,NaN,NaN,NaN
2022-11-07T02:00:00+01:00,1.1499,1.157235259,899954,NaN,NaN,NaN,NaN
2022-11-07T02:05:00+01:00,1.1425,1.15655605,1083505,NaN,NaN,NaN,NaN
2022-11-07T02:10:00+01:00,1.1385,1.156006002,670396,NaN,NaN,NaN,50.28089888
2022-11-07T02:15:00+01:00,1.1446,1.155552759,707586,NaN,NaN,NaN,54.48071217
2022-11-07T02:20:00+01:00,1.1435,1.155209005,631908,NaN,NaN,NaN,53.6014253
2022-11-07T02:25:00+01:00,1.1516,1.15494773,895946,NaN,93.02122256,NaN,58.86602664
2022-11-07T02:30:00+01:00,1.1601,1.154991839,1560817,NaN,93.02122256,NaN,63.54104821
2022-11-07T02:35:00+01:00,1.1605,1.155129774,691567,1188624.25,100,95.34748171,63.74984249
2022-11-07T02:40:00+01:00,1.1641,1.155312324,600979,1097744.8,100,97.67374085,65.65614018
2022-11-07T02:45:00+01:00,1.169,1.155942329,1355964,1080861.15,100,100,68.1140106
2022-11-07T02:50:00+01:00,1.1666,1.156287267,841553,1040456.9,95.36867441,98.4562248,65.6362822
2022-11-07T02:55:00+01:00,1.1724,1.156735153,842143,933942.5,95.36867441,96.91244961,68.60818817
2022-11-07T03:00:00+01:00,1.18,1.158034409,1789880,950777.9,95.36867441,95.36867441,72.02257653
2022-11-07T03:05:00+01:00,1.1886,1.159182303,1260964,963963.5,100,96.91244961,75.29687307
2022-11-07T03:10:00+01:00,1.1958,1.16332977,3927492,1096892.3,100,98.4562248,77.65471613
2022-11-07T03:15:00+01:00,1.2034,1.16640835,2912040,1193844.8,100,100,79.84186841
2022-11-07T03:20:00+01:00,1.2268,1.177211086,8897980,1604824.35,100,100,84.78113407
2022-11-07T03:25:00+01:00,1.2258,1.179850017,2702384,1707347.45,98.98931258,99.66310419,83.83574589
2022-11-07T03:30:00+01:00,1.2295,1.181679063,1991219,1783618.3,98.65780747,99.21570668,84.52340435
2022-11-07T03:35:00+01:00,1.2376,1.185761807,4060688,1916248.25,98.65780747,98.76830917,85.93415697
2022-11-07T03:40:00+01:00,1.2316,1.187437668,2042285,1973364.8,90.9158283,96.07714774,80.10899973
2022-11-07T03:45:00+01:00,1.2268,1.188116993,970034,1967691.25,74.42222735,87.99862104,75.6887401
2022-11-07T03:50:00+01:00,1.2379,1.189690001,2057871,2037065,62.42048196,75.91951254,78.62585922
2022-11-07T03:55:00+01:00,1.2348,1.190946081,1632429,2083307.15,54.64419487,63.82896806,75.86907801
2022-11-07T04:00:00+01:00,1.2219,1.192138416,2164724,2159947.95,38.13596759,51.73354814,65.5667935
2022-11-07T04:05:00+01:00,1.2234,1.193083872,2010318,2215666.55,17.74660252,36.84225499,66.14251136
2022-11-07T04:10:00+01:00,1.2301,1.193723016,1191637,2197207.55,6.009254458,20.63060819,68.66285572
2022-11-07T04:15:00+01:00,1.2225,1.194157346,911352,2208196.8,6.009254458,9.921703811,62.93948594
2022-11-07T04:20:00+01:00,1.2182,1.194666113,1304266,2243361.15,5.067031595,5.695180171,59.89736011
2022-11-07T04:25:00+01:00,1.2181,1.195074155,1174316,2234278.75,0,3.692095351,59.82494112
2022-11-07T04:30:00+01:00,1.2223,1.195490595,1145034,2249452.8,2.659481065,2.57550422,61.90805007
2022-11-07T04:35:00+01:00,1.2183,1.195770616,804880,2247589.65,2.659481065,1.772987377,58.78200494
2022-11-07T04:40:00+01:00,1.211,1.196197972,1808299,2248510.6,2.659481065,2.659481065,53.47503367
2022-11-07T04:45:00+01:00,1.212,1.196489906,1352502,2253087.5,0.765327023,2.028096384,54.08654449
2022-11-07T04:50:00+01:00,1.2124,1.196576808,421902,2077808,1.918377281,1.78106179,54.34503864
2022-11-07T04:55:00+01:00,1.2175,1.196824475,984344,1981423.2,7.41334502,3.365683108,57.62112292
2022-11-07T05:00:00+01:00,1.2102,1.196996263,848793,1578963.85,6.648017997,5.326580099,51.88228989
2022-11-07T05:05:00+01:00,1.1986,1.197191174,3174610,1602575.15,5.49496774,6.518776919,44.32731375
2022-11-07T05:10:00+01:00,1.194,1.197176405,868695,1546448.95,0,4.047661912,41.73212479
2022-11-07T05:15:00+01:00,1.1917,1.197135452,1141543,1400491.7,-1.48E-16,1.831655913,40.45673456
2022-11-07T05:20:00+01:00,1.199,1.197112774,1470531,1371904,8.349568343,2.783189448,46.08837264
2022-11-07T05:25:00+01:00,1.2001,1.197190085,1683913,1407597.95,18.3669417,8.905503349,46.90330966
2022-11-07T05:30:00+01:00,1.2067,1.197293362,1275462,1368477.5,35.72601374,20.8141746,51.6279825
2022-11-07T05:35:00+01:00,1.2022,1.197345042,710726,1322392.35,39.81534175,31.30276573,48.46165527
2022-11-07T05:40:00+01:00,1.2008,1.197361346,347085,1231510.4,42.58391397,39.37508982,47.48591186
2022-11-07T05:45:00+01:00,1.1982,1.197367624,273255,1144657.25,35.30579772,39.23501782,45.64773777
2022-11-07T05:50:00+01:00,1.2037,1.197398512,673652,1118758,41.50169654,39.79713608,50.0523804
2022-11-07T05:55:00+01:00,1.2078,1.197505014,1054607,1125920.75,53.27558174,43.36102534,53.10336876
2022-11-07T06:00:00+01:00,1.2068,1.197547322,442286,1082821.75,66.12596209,53.63441346,52.26480533
2022-11-07T06:05:00+01:00,1.204,1.197585807,451520,1046681.95,72.35291726,63.91815369,49.88925843
2022-11-07T06:10:00+01:00,1.2008,1.197609842,468124,1012836.45,65.68853879,68.05580605,47.24625174
2022-11-07T06:15:00+01:00,1.2006,1.197618492,228138,983999.35,60.21018763,66.08388123,47.07838006
2022-11-07T06:20:00+01:00,1.2001,1.197623925,1329759,960072.35,51.62564434,59.17479026,46.63229107
2022-11-07T06:25:00+01:00,1.1979,1.197631342,740456,929470.05,33.73019203,48.522008,44.6285123
2022-11-07T06:30:00+01:00,1.2112,1.197776818,1495269,983138.4,49.61054039,44.98879226,56.73271754
2022-11-07T06:35:00+01:00,1.2154,1.197912488,877193,977780.85,66.66666667,50.00246636,59.72670247
2022-11-07T06:40:00+01:00,1.2103,1.19799506,594341,965058.25,89.05800071,68.44506926,54.77057089
2022-11-07T06:45:00+01:00,1.2047,1.198028912,397345,826195,67.31096036,74.34520924,49.87647394
2022-11-07T06:50:00+01:00,1.2019,1.198051904,496424,807581.45,40.50892569,65.62596225,47.58683598
2022-11-07T06:55:00+01:00,1.1996,1.19806669,477565,774382.55,20.54894049,42.78960885,45.72978132
2022-11-07T07:00:00+01:00,1.1994,1.198075361,295275,715619.75,11.02638117,24.02808245,45.5632716
2022-11-07T07:05:00+01:00,1.2023,1.19808326,240009,643424.55,13.02461677,14.86664614,48.49192821
2022-11-07T07:10:00+01:00,1.1936,1.198043599,1563987,657850.8,10.59326792,11.54808862,41.31145781
2022-11-07T07:15:00+01:00,1.1956,1.197944251,1558228,700225.9,12.286157,11.96801389,43.38683161
2022-11-07T07:20:00+01:00,1.1921,1.197916937,599777,712860.5,3.756622733,8.878682549,40.67599159
2022-11-07T07:25:00+01:00,1.1901,1.197882877,469589,722677.2,3.756622733,6.599800821,39.16992115
2022-11-07T07:30:00+01:00,1.1906,1.197837187,642527,721120.95,0.973567322,2.828937596,39.77032346
2022-11-07T07:35:00+01:00,1.1928,1.197826234,199758,678378.5,6.310730305,3.680306786,42.46136792
2022-11-07T07:40:00+01:00,1.1955,1.19781829,216414,667084.9,16.85027126,8.044856294,45.66969231
2022-11-07T07:45:00+01:00,1.1923,1.197805284,267292,657873.5,23.28122915,15.48074357,42.63538328
2022-11-07T07:50:00+01:00,1.1929,1.197790387,386915,653813.05,31.09759413,23.74303151,43.3947894
2022-11-07T07:55:00+01:00,1.1919,1.197779347,208807,652846.5,32.06379785,28.81420705,42.38762014
2022-11-07T08:00:00+01:00,1.1801,1.197520396,1998197,686268.4,24.65927263,29.27355487,32.73330583
2022-11-07T08:05:00+01:00,1.1794,1.197103992,2423217,770406.45,11.50574467,22.74293838,32.26384513
2022-11-07T08:10:00+01:00,1.1791,1.196966346,863116,738798.8,2.37E-15,12.05500577,32.05168289
2022-11-07T08:15:00+01:00,1.1771,1.196905957,359566,712917.45,2.37E-15,3.835248223,30.60670251
2022-11-07T08:20:00+01:00,1.174,1.196807949,522465,709323.65,2.37E-15,4.93E-15,28.46463519
2022-11-07T08:25:00+01:00,1.1795,1.196723688,508886,714900.7,16.34704181,5.449013937,36.90218883
2022-11-07T08:30:00+01:00,1.1764,1.196606528,755241,727841.55,27.91743021,14.75482401,34.43671099
2022-11-07T08:35:00+01:00,1.1746,1.196515617,492272,728576.9,36.81226467,27.0255789,33.05571924
2022-11-07T08:40:00+01:00,1.1664,1.196142594,1538197,790723,20.46522286,28.39830592,27.62144195
2022-11-07T08:45:00+01:00,1.1668,1.195902608,986514,828048.25,10.03941141,22.43896632,28.24117029
2022-11-07T08:50:00+01:00,1.1566,1.194992488,2900342,894866,1.14457694,10.54973707,22.86485487
2022-11-07T08:55:00+01:00,1.1514,1.194264581,2177398,925824.5,1.14457694,4.109521762,20.70121155
2022-11-07T09:00:00+01:00,1.1639,1.19377905,1700307,980851,23.9832591,8.757470994,36.30453424
2022-11-07T09:05:00+01:00,1.1712,1.193206971,3305102,1122626.65,57.31659244,27.48147616,43.31887025
2022-11-07T09:10:00+01:00,1.1715,1.192985883,1271062,1154053.4,90.64992577,57.31659244,43.59377873
2022-11-07T09:15:00+01:00,1.1776,1.192822836,1152318,1201681.4,100,82.65550607,49.00922794
2022-11-07T09:20:00+01:00,1.1669,1.192654767,968535,1239287.45,91.14047769,93.93013449,41.48536285
2022-11-07T09:25:00+01:00,1.1696,1.192498733,834250,1267635.35,85.04033396,92.06027055,43.82873888
2022-11-07T09:30:00+01:00,1.1743,1.192352169,1042766,1300427.9,83.55911511,86.57997559,47.75131692
2022-11-07T09:35:00+01:00,1.1752,1.192241017,860551,1333015.1,91.81083595,86.80342834,48.49305831
2022-11-07T09:40:00+01:00,1.1769,1.192222701,150621,1240636.3,97.91097967,91.09364358,49.93873145
2022-11-07T09:45:00+01:00,1.1825,1.192150178,816494,1160300.15,99.39219852,96.37133805,54.47195504
2022-11-07T09:50:00+01:00,1.1845,1.192088842,982166,1166252.65,100,99.1010594,56.00425101
2022-11-07T09:55:00+01:00,1.1948,1.192115529,3751666,1335857.65,100,99.79739951,62.92478017
2022-11-07T10:00:00+01:00,1.2022,1.192233749,2332792,1426374,100,100,66.94743636
2022-11-07T10:05:00+01:00,1.2012,1.192331346,1401470,1471003.2,98.86796198,99.62265399,65.90676845
2022-11-07T10:10:00+01:00,1.1887,1.192334172,2406047,1553543.5,82.57521723,93.81439307,54.50202443
2022-11-07T10:15:00+01:00,1.1865,1.192306674,916909,1574775.35,64.01660283,81.81992735,52.77121224
2022-11-07T10:20:00+01:00,1.1907,1.19229022,994848,1547607.9,50.37944357,65.65708788,55.66580475
2022-11-07T10:25:00+01:00,1.1941,1.192299061,1042292,1550396.8,54.84682,56.4142888,57.91448444
2022-11-07T10:30:00+01:00,1.1992,1.192321526,763574,1443558.4,64.97669312,56.7343189,61.10159077
2022-11-07T10:35:00+01:00,1.1939,1.19234045,670231,1368200.05,61.30505383,60.37618898,56.32766131
2022-11-07T10:40:00+01:00,1.1949,1.192343406,553967,1310883.05,55.18114555,60.48763083,57.01015428
2022-11-07T10:45:00+01:00,1.1891,1.192335235,1101640,1200709.95,34.19891012,50.22836983,51.94015765
2022-11-07T10:50:00+01:00,1.1919,1.1923339,221745,1148244.1,24.0237851,37.80128026,54.06400502
2022-11-07T10:55:00+01:00,1.1914,1.19232622,754103,1128333.35,12.34517722,23.52262415,53.60841876
2022-11-07T11:00:00+01:00,1.1983,1.192353844,1081779,1133995.55,23.59656458,19.98850897,58.7716558
2022-11-07T11:05:00+01:00,1.2068,1.192545941,2371703,1210868.2,45.83442433,27.25872205,64.0758978
2022-11-07T11:10:00+01:00,1.2059,1.192629484,899898,1203724.8,68.88164885,46.10421259,63.14948296
2022-11-07T11:15:00+01:00,1.2121,1.192832127,1764195,1248907,87.04123819,67.25243712,66.71923438
2022-11-07T11:20:00+01:00,1.2062,1.192940107,1170465,1299899.2,79.82946123,78.58411609,60.69385852
2022-11-07T11:25:00+01:00,1.2069,1.192968989,346443,1276396.65,73.83152622,80.23407522,61.14223377
2022-11-07T11:30:00+01:00,1.2067,1.192988101,234858,1239031.25,60.7705961,71.47719452,60.92837972
